Date,"Buy Rate","Sell Rate"
2021-05-03,195.7300,199.8900
2021-04-30,195.9100,199.8700
2021-04-29,196.1100,199.8700
2021-04-28,194.8600,199.5200
2021-04-27,194.3865,199.4185
2021-04-23,192.5105,198.4895
2021-04-22,193.4075,199.3925
2021-04-21,195.1000,200.9000
2021-04-20,190.2905,195.2145
2021-04-19,187.9300,191.9700
2021-04-16,195.7200,201.2800
2021-04-15,199.8080,204.6280
2021-04-12,199.1500,203.7300
2021-04-09,199.0400,203.5900
2021-04-08,199.2100,203.5000
2021-04-07,198.5600,202.8800
2021-04-06,198.0000,202.7000
2021-04-05,197.2500,201.9500
2021-04-01,197.0000,202.1000
2021-03-31,197.6200,202.0400
2021-03-30,196.8300,201.9300
2021-03-29,197.2800,201.7700
2021-03-26,196.7200,201.6000
2021-03-25,196.4100,201.0100
2021-03-24,196.9248,201.1935
2021-03-23,196.3948,200.8635
2021-03-22,195.3773,200.0401
2021-03-19,195.2800,200.1900
2021-03-18,195.3045,201.5005
2021-03-17,197.5800,201.7500
2021-03-16,195.2800,200.0600
2021-03-15,194.4280,198.9640
2021-03-12,194.4440,198.8740
2021-03-10,194.3740,198.6620
2021-03-09,194.3540,198.6820
2021-03-08,194.0460,198.5760
2021-03-05,194.0100,198.3400
2021-03-04,193.9400,198.2700
2021-03-03,193.9900,198.3200
2021-03-02,192.4900,197.3200
2021-03-01,192.0100,197.0500
2021-02-25,192.8800,196.6200
2021-02-24,192.0000,196.4000
2021-02-23,191.1900,195.9300
2021-02-22,193.1300,197.5300
2021-02-19,193.5800,198.5800
2021-02-18,193.3913,198.3847
2021-02-17,193.6565,198.9485
2021-02-16,193.2575,197.9775
2021-02-15,192.7900,197.0300
2021-02-12,191.2395,196.3655
2021-02-11,193.5370,198.6680
2021-02-10,192.2300,197.4500
2021-02-09,192.5700,196.8100
2021-02-08,191.9670,196.5069
2021-02-05,191.5900,196.0300
2021-02-03,192.3200,197.6200
2021-02-02,190.4000,195.5000
2021-02-01,188.6300,193.1700
2021-01-29,189.6615,194.4435
2021-01-27,193.1921,198.2435
2021-01-26,192.4000,198.8000
2021-01-25,194.1900,199.6500
2021-01-22,194.3125,199.1875
2021-01-21,193.1600,197.6800
2021-01-20,192.8513,198.2647
2021-01-19,190.8900,196.0500
2021-01-18,191.6475,196.0262
2021-01-15,190.7700,196.0500
2021-01-13,190.3300,194.0700
2021-01-12,188.4900,193.6500
2021-01-11,188.0500,192.4700
2021-01-08,186.2800,190.9800
2021-01-07,187.1000,191.7700
2021-01-06,187.5400,191.9600
2021-01-05,187.6000,191.9000
2021-01-04,184.8200,189.8800
2021-01-01,184.9800,189.8000
2020-12-31,184.1200,189.1800
2020-12-30,185.2000,190.0200
2020-12-28,186.7000,192.1000
2020-12-24,189.0800,194.6600
2020-12-23,188.0100,193.0500
2020-12-22,186.8000,191.2000
2020-12-21,185.9500,190.3700
2020-12-18,185.4100,190.1300
2020-12-17,186.1300,190.5300
2020-12-16,185.2300,189.8300
2020-12-15,185.1000,189.5200
2020-12-14,184.5700,188.9700
2020-12-11,183.7200,188.1400
2020-12-10,183.6400,188.0600
2020-12-09,184.1400,188.5400
2020-12-08,184.1000,188.5200
2020-12-07,183.7700,188.1900
2020-12-04,183.9000,188.3000
2020-12-03,184.2600,188.6600
2020-12-02,183.7900,187.9900
2020-12-01,183.6600,187.8800
